Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/20/2022,27-318,MIL,@,PHI,W (+2),1,36:05:00,9,16,0.563,1,3,0.333,2,5,0.4,0,13,13,8,1,3,1,4,21,22.2,13
2,2,10/22/2022,27-320,MIL,,HOU,W (+20),1,27:38:00,17,21,0.81,2,3,0.667,8,13,0.615,2,10,12,3,0,0,4,2,44,35.8,23
3,3,10/26/2022,27-324,MIL,,BRK,W (+11),1,37:52:00,16,25,0.64,1,4,0.25,10,14,0.714,2,12,14,5,1,3,7,4,43,33.3,5
4,4,10/28/2022,27-326,MIL,,NYK,W (+11),1,38:55:00,11,22,0.5,1,6,0.167,7,11,0.636,0,14,14,9,1,1,2,0,30,27.6,27
5,5,10/29/2022,27-327,MIL,,ATL,W (+8),1,32:37:00,11,22,0.5,1,1,1,11,19,0.579,5,12,17,4,0,1,2,4,34,26.8,-10
6,6,10/31/2022,27-329,MIL,,DET,W (+2),1,31:44:00,12,23,0.522,0,4,0,7,9,0.778,2,5,7,2,0,2,4,5,31,18.6,-1
7,7,11/2/2022,27-331,MIL,,DET,W (+25),1,29:31:00,11,24,0.458,0,4,0,10,12,0.833,5,7,12,4,5,2,1,1,32,32.2,12
8,8,11/4/2022,27-333,MIL,@,MIN,W (+13),1,33:35:00,7,17,0.412,2,4,0.5,10,20,0.5,0,14,14,11,0,0,4,3,26,19.6,25
10,9,11/7/2022,27-336,MIL,@,ATL,L (-19),1,26:47:00,9,20,0.45,0,1,0,7,8,0.875,1,6,7,2,2,1,5,3,25,14.6,-22
13,10,11/14/2022,27-343,MIL,,ATL,L (-15),1,30:55:00,8,21,0.381,0,3,0,11,18,0.611,1,7,8,4,1,0,8,6,27,8.9,-13
14,11,11/16/2022,27-345,MIL,,CLE,W (+15),1,31:32:00,6,18,0.333,0,2,0,4,11,0.364,2,10,12,8,0,0,2,1,16,10.6,10
